prev_close,iep,change,final_price,low_52,high_52,high
24824.35,24715.00,-109.35,24715.00,15410.00,25655.50,25200
24599.95,24361.00,-238.95,24361.00,15410.00,25655.50,24533.75
24243.55,24580.00,336.45,24580.00,15410.00,25355.00,24695.95
23698.80,23949.00,250.20,23949.00,15410.00,25355.00,24600
7423.85,7390.50,438.25,7390.50,6400.00,8329.00,7465
8048.85,8117.00,135.50,8117.00,4001.10,8329.00,8090
7399.80,7534.90,135.10,7534.90,4001.10,8329.00,7769.75
6977.70,7100.00,122.30,6994.00,6125.05,8329.00,7107.45
6952.95,7065.00,112.05,7065.00,4001.10,8329.00,7069
6866.15,6977.00,110.85,6977.00,4001.10,8329.00,7032.85
6511.75,6615.00,103.25,6615.00,4637.50,8329.00,6678.7
7588.50,7685.00,96.50,7685.00,4001.10,8329.00,7685
6859.20,6950.00,90.80,6950.00,4001.10,8329.00,6991.5
7425.70,7500.00,74.30,7500.00,5750.00,8329.00,7589.8
7503.20,7574.85,71.65,7574.85,4001.10,8329.00,7579.05
6717.85,6788.00,70.15,6788.00,4680.55,8329.00,6864
7259.50,7329.40,69.90,7248.10,4001.10,8329.00,7329.4
7830.65,7900.00,69.35,7900.00,4001.10,8329.00,7990.3
7232.70,7302.00,69.30,7302.00,5812.00,8329.00,7325
6871.60,6939.95,68.35,6939.95,5135.40,8329.00,6948
8048.85,8117.00,68.15,8117.00,4001.10,8329.00,8164.7
6784.90,6852.70,67.80,6852.70,6270.15,8329.00,6858.95
6624.85,6690.00,65.15,6690.00,6270.15,8329.00,6810
6863.10,6925.00,61.90,6925.00,6270.15,8329.00,6954
6573.80,6635.00,61.20,6635.00,4637.50,8329.00,6647.45
7064.65,7125.00,60.35,7125.00,4001.10,8329.00,7242
8144.95,8205.00,60.05,8205.00,4001.10,8329.00,8267
7590.75,7650.00,59.25,7650.00,6400.00,8329.00,7650
7206.65,7265.20,58.55,7265.20,4001.10,8329.00,7475
6885.40,6943.75,58.35,6943.75,6270.15,8329.00,6943.75
7482.15,7540.00,57.85,7540.00,6400.00,8329.00,7560
7492.50,7548.70,56.20,7548.70,6400.00,8329.00,7571.95
6850.90,6905.00,54.10,6905.00,6270.15,8329.00,6918
7470.10,7520.00,49.90,7520.00,5750.00,8329.00,7529.2
6768.55,6818.25,49.70,6818.25,4120.00,8329.00,6846.95
6508.25,6557.70,49.45,6557.70,4637.50,8329.00,6599
7649.00,7698.00,49.00,7698.00,5650.00,8329.00,7698
7076.95,7124.95,48.00,7124.95,6125.05,8329.00,7221
7693.80,7740.00,46.20,7740.00,6400.00,8329.00,7749.95
7015.00,7060.00,45.00,7060.00,4001.10,8329.00,7235
7403.45,7448.00,44.55,7448.00,6400.00,8329.00,7521.55
7199.90,7244.00,44.10,7244.00,5201.00,8329.00,7244
6894.45,6938.00,43.55,6938.00,6270.15,8329.00,6938
6777.00,6820.00,43.00,6820.00,6270.15,8329.00,6846
7596.65,7639.00,42.35,7639.00,4001.10,8329.00,7799
6737.85,6780.00,42.15,6780.00,4745.50,8329.00,6835.5
6597.85,6639.95,42.10,6639.95,4637.50,8329.00,6648.5
7275.65,7317.50,41.85,7317.50,5201.00,8329.00,7366.45
7584.40,7625.00,40.60,7584.55,5750.00,8329.00,7634.5
6899.90,6940.00,40.10,6940.00,5650.00,8329.00,7299.95
7640.00,7680.00,40.00,7680.00,4001.10,8329.00,7736
7240.25,7280.00,39.75,7280.00,5928.05,8329.00,7312
6751.30,6790.00,38.70,6790.00,4120.00,8329.00,6885
6831.00,6868.00,37.00,6868.00,6270.15,8329.00,6879.9
7101.25,7138.00,36.75,7138.00,4001.10,8329.00,7225
6873.70,6910.00,36.30,6910.00,6270.15,8329.00,6955
7199.25,7234.95,35.70,7234.95,6400.00,8329.00,7555
6803.20,6838.00,34.80,6838.00,6270.15,8329.00,6838
7100.80,7135.00,34.20,7135.00,6270.15,8329.00,7165
6802.25,6835.50,33.25,6835.50,6270.15,8329.00,6895.45
6846.90,6879.90,33.00,6879.90,6270.15,8329.00,6929.9
7086.45,7118.80,32.35,7118.80,4001.10,8329.00,7122.35
7214.10,7245.60,31.50,7245.60,4001.10,8329.00,7262.3
7568.50,7600.00,31.50,7600.00,4001.10,8329.00,7649.1
6638.90,6669.95,31.05,6645.00,4637.50,8329.00,6709
