"SYMBOL 
","PREV. CLOSE 
","IEP  PRICE 
","CHNG 
","%CHNG 
","FINAL PRICE 
","FINAL QUANTITY 
",VALUE ,FFM CAP ,"NM 52W H 
","NM 52W L 
",Date
ULTRACEMCO,"6,510.05","6,500.00",-10.05,-0.15,"6,500.00",1117,"7,260,500.00","751,616,275,962.12","6,944.20","2,910.00",19-Mar-2021
BPCL,426.90,426.00,-0.9,-0.21,426.00,19702,"8,393,052.00","342,639,978,673.03",482.40,252.00,19-Mar-2021
TCS,"3,036.50","3,030.00",-6.5,-0.21,"3,030.00",11738,"35,566,140.00","3,190,352,524,735.32","3,339.80","1,546.75",19-Mar-2021
SBILIFE,890.45,887.95,-2.5,-0.28,887.95,3307,"2,936,450.65","347,292,561,298.04",983.75,519.40,19-Mar-2021
BAJAJ-AUTO,"3,664.50","3,653.95",-10.55,-0.29,"3,653.95",3498,"12,781,517.10","477,173,450,155.50","4,361.40","1,788.65",19-Mar-2021
WIPRO,410.15,408.95,-1.2,-0.29,408.95,14388,"5,883,972.60","609,477,938,472.87",467.45,159.40,19-Mar-2021
TATASTEEL,704.85,702.75,-2.1,-0.3,702.75,23534,"16,538,518.50","531,984,111,630.74",782.50,250.85,19-Mar-2021
IOC,97.25,96.95,-0.3,-0.31,96.95,105141,"10,193,419.95","247,192,277,894.42",105.00,71.15,19-Mar-2021
ADANIPORTS,679.65,677.40,-2.25,-0.33,677.40,15583,"10,555,924.20","497,116,830,370.91",767.80,203.00,19-Mar-2021
HDFCBANK,"1,491.00","1,485.00",-6.0,-0.4,"1,485.00",93181,"138,373,785.00","6,487,414,023,633.48","1,641.00",738.75,19-Mar-2021
TECHM,996.20,992.00,-4.2,-0.42,992.00,3734,"3,704,128.00","616,713,475,879.68","1,081.55",471.40,19-Mar-2021
BRITANNIA,"3,439.65","3,424.60",-15.05,-0.44,"3,424.60",421,"1,441,756.60","405,966,290,824.84","4,010.00","2,100.00",19-Mar-2021
ASIANPAINT,"2,404.55","2,393.00",-11.55,-0.48,"2,393.00",8413,"20,132,309.00","1,084,026,351,593.92","2,873.45","1,431.20",19-Mar-2021
HINDUNILVR,"2,215.20","2,204.10",-11.1,-0.5,"2,204.10",2455,"5,411,065.50","1,977,800,066,108.88","2,614.30","1,757.30",19-Mar-2021
GRASIM,"1,387.80","1,380.60",-7.2,-0.52,"1,380.60",2473,"3,414,223.80","538,721,956,583.66","1,408.00",385.05,19-Mar-2021
SHREECEM,"26,595.50","26,455.00",-140.5,-0.53,"26,455.00",28,"740,740.00","355,046,647,370.58","29,090.00","15,410.00",19-Mar-2021
INFY,"1,337.10","1,330.00",-7.1,-0.53,"1,330.00",39682,"52,777,060.00","4,955,014,016,164.34","1,406.00",509.25,19-Mar-2021
HINDALCO,331.80,330.00,-1.8,-0.54,330.00,14975,"4,941,750.00","484,520,542,238.46",361.30,84.90,19-Mar-2021
UPL,601.30,598.00,-3.3,-0.55,598.00,4602,"2,751,996.00","330,782,783,538.82",639.55,240.15,19-Mar-2021
CIPLA,755.15,751.00,-4.15,-0.55,751.00,2624,"1,970,624.00","383,662,297,097.19",878.90,362.90,19-Mar-2021
ICICIBANK,578.60,575.20,-3.4,-0.59,575.20,60906,"35,033,131.20","3,994,272,980,515.40",679.40,268.30,19-Mar-2021
SUNPHARMA,574.55,571.00,-3.55,-0.62,571.00,7427,"4,240,817.00","620,342,058,156.08",654.40,312.00,19-Mar-2021
KOTAKBANK,"1,830.40","1,818.45",-11.95,-0.65,"1,818.45",10251,"18,640,930.95","2,681,611,015,063.55","2,049.00","1,001.00",19-Mar-2021
M&M,845.65,839.95,-5.7,-0.67,839.95,3803,"3,194,329.85","809,505,446,621.87",952.05,245.40,19-Mar-2021
HEROMOTOCO,"3,107.20","3,085.00",-22.2,-0.71,"3,085.00",1533,"4,729,305.00","403,466,646,564.80","3,629.05","1,475.00",19-Mar-2021
JSWSTEEL,423.15,420.10,-3.05,-0.72,420.10,7845,"3,295,684.50","409,138,731,674.40",435.00,132.50,19-Mar-2021
MARUTI,"7,113.75","7,059.95",-53.8,-0.76,"7,059.95",840,"5,930,358.00","945,525,691,803.00","8,329.00","4,001.10",19-Mar-2021
COALINDIA,137.05,136.00,-1.05,-0.77,136.00,20429,"2,778,344.00","287,164,651,853.22",163.00,109.55,19-Mar-2021
EICHERMOT,"2,664.60","2,644.00",-20.6,-0.77,"2,644.00",742,"1,961,848.00","371,329,004,818.80","3,037.00","1,245.01",19-Mar-2021
BAJAJFINSV,"9,430.15","9,350.00",-80.15,-0.85,"9,350.00",649,"6,068,150.00","570,262,187,663.91","10,579.00","3,985.30",19-Mar-2021
SBIN,367.10,363.95,-3.15,-0.86,363.95,76759,"27,936,438.05","1,408,776,704,476.50",427.70,149.45,19-Mar-2021
RELIANCE,"2,009.10","1,991.00",-18.1,-0.9,"1,991.00",32423,"64,554,193.00","6,495,650,878,781.52","2,369.35",866.98,19-Mar-2021
LT,"1,428.10","1,415.00",-13.1,-0.92,"1,415.00",5174,"7,321,210.00","1,724,660,329,299.54","1,593.00",661.00,19-Mar-2021
BAJFINANCE,"5,371.85","5,316.00",-55.85,-1.04,"5,316.00",2285,"12,147,060.00","1,424,283,870,683.15","5,822.20","1,783.00",19-Mar-2021
HDFC,"2,514.60","2,486.00",-28.6,-1.14,"2,486.00",10228,"25,426,808.00","4,519,035,143,191.80","2,896.00","1,473.45",19-Mar-2021
TATAMOTORS,307.00,303.50,-3.5,-1.14,303.50,130502,"39,607,357.00","550,440,621,281.70",357.00,63.50,19-Mar-2021
TITAN,"1,468.20","1,450.00",-18.2,-1.24,"1,450.00",6138,"8,900,100.00","612,620,390,852.64","1,621.35",720.90,19-Mar-2021
INDUSINDBK,"1,002.80",990.00,-12.8,-1.28,990.00,8175,"8,093,250.00","569,342,556,475.80","1,119.50",235.55,19-Mar-2021
AXISBANK,718.75,709.00,-9.75,-1.36,709.00,22722,"16,109,898.00","1,782,174,458,179.69",799.00,286.00,19-Mar-2021
NTPC,103.80,102.35,-1.45,-1.4,102.35,32683,"3,345,105.05","503,256,972,375.36",114.70,73.20,19-Mar-2021
ONGC,110.20,106.25,-3.95,-3.58,106.25,85206,"9,053,137.50","402,040,562,865.35",122.35,57.50,19-Mar-2021
SBILIFE,923.85,950.00,26.15,2.83,929.00,47023,"44,671,850.00","360,319,201,252.39",954.50,519.40,09-Mar-2021
GRASIM,"1,344.25","1,382.00",37.75,2.81,"1,344.00",16417,"22,688,294.00","521,816,537,064.12","1,371.70",385.05,09-Mar-2021
AXISBANK,743.30,758.70,15.40,2.07,745.00,85964,"65,220,886.80","1,843,047,338,803.43",799.00,286.00,09-Mar-2021
DIVISLAB,"3,507.70","3,567.80",60.10,1.71,"3,507.90",5299,"18,905,772.20","446,968,386,271.68","3,914.95","1,626.00",09-Mar-2021
HDFCBANK,"1,519.50","1,545.00",25.50,1.68,"1,522.00",34694,"53,602,230.00","6,611,418,919,457.46","1,641.00",738.75,09-Mar-2021
BAJAJFINSV,"9,839.10","10,000.00",160.90,1.64,"9,826.90",845,"8,450,000.00","594,992,305,598.95","10,579.00","3,985.30",09-Mar-2021
HDFCLIFE,722.95,732.00,9.05,1.25,728.40,10949,"8,014,668.00","569,520,457,014.78",744.00,340.00,09-Mar-2021
COALINDIA,153.15,154.95,1.80,1.18,153.40,91272,"14,142,596.40","320,899,426,715.22",169.90,109.55,09-Mar-2021
TATAMOTORS,321.25,325.00,3.75,1.17,321.35,186397,"60,579,025.00","575,990,389,533.38",357.00,63.50,09-Mar-2021
ULTRACEMCO,"6,668.15","6,745.00",76.85,1.15,"6,691.85",1239,"8,357,055.00","769,869,673,897.56","6,944.20","2,910.00",09-Mar-2021
ICICIBANK,608.05,614.85,6.80,1.12,608.50,50094,"30,800,295.90","4,197,576,366,751.45",679.40,268.30,09-Mar-2021
TATASTEEL,737.25,745.00,7.75,1.05,735.65,23356,"17,400,220.00","556,437,946,087.49",782.50,250.85,09-Mar-2021
JSWSTEEL,407.85,412.00,4.15,1.02,407.65,6341,"2,612,492.00","394,345,342,581.60",435.00,132.50,09-Mar-2021
HINDALCO,336.60,339.95,3.35,1.00,336.75,47895,"16,281,905.25","491,529,881,005.02",361.30,84.90,09-Mar-2021
SBIN,389.60,393.45,3.85,0.99,390.10,70171,"27,608,779.95","1,495,122,321,067.95",427.70,149.45,09-Mar-2021
ONGC,118.25,119.40,1.15,0.97,118.75,140538,"16,780,237.20","431,409,224,671.76",122.35,50.00,09-Mar-2021
MARUTI,"7,259.50","7,329.40",69.90,0.96,"7,248.10",3768,"27,617,179.20","964,898,086,050.80","8,329.00","4,001.10",09-Mar-2021
SHREECEM,"27,185.05","27,445.00",259.95,0.96,"27,240.00",152,"4,171,640.00","362,917,067,214.44","29,090.00","15,410.00",09-Mar-2021
ADANIPORTS,748.40,755.55,7.15,0.96,747.80,31656,"23,917,690.80","547,402,686,455.66",767.80,203.00,09-Mar-2021
BAJFINANCE,"5,320.65","5,370.65",50.00,0.94,"5,330.00",3595,"19,307,486.75","1,410,708,783,110.15","5,822.20","1,783.00",09-Mar-2021
